,name,like,review,reply,min_del_price,menu_int,menu1,menu2,menu3,mean_price,info_int,runtime_wk(분),order,addr,rev_int,total_int,rate,event,location
420,다모토리 히읗,221,115,113,15000,4,16000,18000,14000,16000,21,4620,700,용산구 용산동2가 44-18,6,31,4.8,0,숙대입구역
421,짜글이대마왕,153,317,243,5000,11,17200,18200,18700,18033,31,5040,1000,마포구 아현동 437-3,19,61,4.9,1,숙대입구역
422,육쌈냉면 숙대점,183,214,72,11000,16,7500,7500,7500,7500,16,4060,3000,용산구 청파동3가 111-59,2,34,4.5,0,숙대입구역
423,옥이네 김치찌개와 직화삼겹,3564,2243,2328,7000,0,7000,8000,7000,7333,21,6805,10000,서대문구 창천동 57-59,13,34,4.9,1,홍대입구역
424,밥은 먹었어,3092,2695,2706,3000,11,8000,8000,7000,7667,34,4620,14000,서대문구 창천동 89-23,16,61,4.8,1,홍대입구역
425,찌개의 정석,3218,878,886,5000,3,8000,8000,8000,8000,12,3710,10000,마포구 서교동 487,5,20,4.9,1,홍대입구역
426,행복왕갈비,911,937,919,7000,10,11000,11000,34500,18833,10,7140,4000,마포구 서교동 325-13,12,32,4.9,1,홍대입구역
427,족보잇는 국밥 밀면 홍대직영점,1797,1190,1329,7000,17,9000,7000,18000,11333,30,10080,9000,마포구 성산동 633-2,44,91,4.9,1,홍대입구역
428,혼밥대왕 홍대점,1113,1215,817,6900,17,8900,8400,16400,11233,36,10080,7000,마포구 서교동 343-13,24,77,4.8,1,홍대입구역
429,호&준,3515,1487,1501,5000,15,7500,8000,8500,8000,20,3210,10000,마포구 망원동 517,28,63,4.8,1,홍대입구역
430,한촌설렁탕 망원역점,738,835,841,10000,14,8000,8500,8500,8333,14,4830,5000,마포구 망원동 377-2,28,56,4.8,1,홍대입구역
431,연희옥 연희본점,1980,650,659,11000,6,8000,9500,19000,12167,16,10080,11000,서대문구 연의동 188-55,7,29,4.8,0,홍대입구역
432,솔로테이블,439,397,397,7000,10,7500,7500,7500,7500,30,4620,2000,마포구 서교동 369-10,6,46,4.8,1,홍대입구역
433,진수성찬,1723,7336,324,7000,5,8000,12000,8000,9333,6,5040,3000,마포구 서교동 480-24,4,15,4.9,1,홍대입구역
434,나를 위한 식사시간 서교점,881,442,452,9000,12,6500,6500,6500,6500,12,6650,4000,마포구 서교동 487,36,60,4.8,1,홍대입구역
435,연희옥 서교직영점,907,411,415,11000,6,8000,9500,19000,12167,12,10080,4000,마포구 서교동 352-13,9,27,4.8,0,홍대입구역
436,맛있는 한상,818,621,598,10000,9,8000,13000,9000,10000,9,10080,5000,마포구 동교동 205-3,19,37,4.8,1,홍대입구역
437,정육왕 국물두루치기,608,491,405,3000,13,13900,13900,22900,16900,14,10080,2000,마포구 대흥동 330-2,32,59,4.8,1,홍대입구역
438,찬집 본점,425,539,378,12000,2,7500,8000,8000,7833,9,2880,1000,마포구 신수동 457,21,32,5,1,홍대입구역
439,혼밥 남녀,510,469,384,6900,10,8900,8400,7000,8100,22,6720,2000,마포구 서교동 327-43,25,57,4.8,1,홍대입구역
440,고기왕창 자이언트비빔밥 홍대점,768,514,189,7900,18,13000,8500,8500,10000,29,10080,3000,마포구 서교동 343-13,18,65,4.8,1,홍대입구역
441,개미집,2327,748,757,24000,12,26000,26000,29000,27000,24,6240,5000,서대문구 창천동 52-26,30,66,4.9,1,홍대입구역
442,문래돼지불백,942,825,392,11000,1,14000,18000,26000,19333,20,4760,5000,마포구 신수동 190,26,47,4.9,1,홍대입구역
443,한촌설렁탕 북가좌점,1550,1480,1475,8000,15,8000,8500,11000,9167,15,6240,12000,서대문구 북가좌동 307-1,32,62,4.9,1,증산역
444,정한식,1360,1003,617,9000,0,10000,9000,12000,10333,11,6230,5000,은평구 응암동 695-12,15,26,4.7,1,증산역
445,명품삼겹 구공탄,795,962,950,12000,17,23000,24000,24500,23833,38,4680,3000,서대문구 홍은동 401-41,22,77,4.9,1,증산역
446,배달삼겹돼지되지 명지대점,1906,659,669,10900,13,16150,23200,23900,21083,25,5080,3000,은평구 응암동 747-6,17,55,4.8,1,증산역
447,문래돼지불백 북가좌점,770,484,474,11000,1,14000,18000,26000,19333,16,4620,2000,서대문구 북가좌동 351-5,12,29,4.9,1,증산역
448,몽땅부대찌개 명지대점,499,710,708,14500,18,15500,16500,16500,16167,34,6370,2000,서대문구 남가좌동 325-2,5,57,4.9,1,증산역
449,우아한혼술식당 은평점,975,501,494,8900,8,15400,17400,20400,17733,24,3650,2000,은평구 응암동 351-31,16,48,4.9,1,증산역
450,공스 김치찌개,1177,1254,206,8500,17,8500,12500,12500,11167,41,3060,6000,은평구 응암동 753-14,38,96,4.9,1,증산역
451,응암순대국,169,271,273,8000,1,8500,9000,9000,8833,18,3600,1000,은평구 응암동 719-1,12,31,4.9,1,증산역
452,반찬전문점오레시피 서울DMC파크점,554,399,404,12000,14,5000,3500,3500,4000,14,3090,1000,서대문구 남가좌동 385,27,55,4.9,1,증산역
453,집밥의여왕,343,279,285,8000,17,9800,10800,10800,10467,34,4320,3000,마포구 상암동 1596,8,59,4.8,1,증산역
454,우대장 우삼겹구이 전문점,1206,1222,1433,14000,19,25400,27000,27000,26467,44,5030,2000,은평구 신사동 341-31,36,99,5,1,증산역
455,오늘도 한끼,260,212,167,9000,6,12000,12000,10000,11333,12,6090,1000,서대문구 홍은동 355,0,18,4.8,1,증산역
456,옥이네 김치찌개와 직화삼겹 은평점,259,301,287,8000,12,8000,8500,8000,8167,31,5670,1000,은평구 신사동 25-38,37,80,4.9,1,증산역
457,소호집밥,444,745,746,8000,13,8000,8000,7500,7833,13,2700,3000,서대문구 남가좌동 7-5,2,28,4.9,1,증산역
458,그남자의 볶음밥 2호점,599,130,134,7000,7,8050,8050,7900,8000,12,4620,2000,마포구 성산동 446,2,21,4.7,0,증산역
459,푸드쌀롱 냉면&삼겹,615,781,782,8000,6,14500,14500,14500,14500,22,4200,2000,마포구 중동 386-13,28,56,4.9,1,증산역
460,갈비좋은날,641,608,616,18000,11,26500,26500,6000,19667,23,4200,2000,서대문구 남가좌동 124-501,21,55,4.9,1,증산역
461,밥꼬콩불,533,455,503,17000,8,17000,18000,17000,17333,8,5100,2000,은평구 응암동 732-10,18,34,4.9,1,증산역
462,콩부자전주콩나물국밥,182,157,158,10000,14,5000,7000,7000,6333,22,5460,800,서대문구 북가좌동 306-19,14,50,4.8,1,증산역
463,맘에들상,368,516,499,8000,7,7000,11000,8000,8667,10,3060,2000,용산구 보광동 274-1,10,27,5,0,한남역
464,고기듬뿍통큰비빔밥,251,255,243,7000,8,9500,9500,9500,9500,37,4620,1000,용산구 이태원동 225-67,20,65,4.8,1,한남역
465,따띠삼겹 이태원점,599,500,504,8000,0,3500,5800,8000,5767,17,4830,6000,용산구 이태원동 20-70,13,30,4.8,0,한남역
466,백년손님 보광본점,268,269,275,15000,8,15000,11000,10000,12000,25,5040,2000,용산구 보광동 80-21,38,71,4.8,1,한남역
